customer_id,customer_name,email,registration_date,customer_type
1,Allison Hill,donaldgarcia@example.net,2026-05-13 05:58:47,REGULAR
2,Javier Johnson,jesseguzman@example.net,2024-12-23 11:16:56,REGULAR
3,Kimberly Robinson,lisa02@example.net,2025-06-04 17:03:30,REGULAR
4,daniel gallagher,daviscolin@example.com,2025-10-14 19:52:26,REGULAR
5,Monica Herrera,smiller@example.net,,PREMIUM
6,Laura Bush,stanleykendra@example.org,2026-04-16 08:37:13,VIP
7,Jamie Chavez,francisco53@example.net,2025-02-11 04:14:52,PREMIUM
8,Maria Lynch,amandasanchez@example.com,2025-05-04 05:27:07,REGULAR
9,Margaret Hawkins DDS,perezantonio@example.com,2025-05-20 01:31:43,PREMIUM
10,Thomas Bradley,jason76@example.net,2025-07-01 03:29:10,PREMIUM
11,David Hoffman,julie69@example.com,2025-04-21 11:47:17,REGULAR
12,Brenda Snyder PhD,hernandezernest@example.net,2025-06-04 09:06:08,REGULAR
13,James Ferrell,tasha01@example.net,2026-05-07 20:34:47,REGULAR
14,Patricia Peterson,ryan70@example.net,2026-05-01 08:08:28,REGULAR
15,Jonathan White,harrellkenneth@example.net,2025-08-05 18:02:47,VIP
16,James Martin,georgetracy@example.org,2026-06-09 04:20:27,PREMIUM
17,Sandra Parker,allenashley@example.org,2024-10-01 21:42:28,REGULAR
18,Mr. Philip Cannon,donnaarroyo@example.org,2025-02-09 18:36:45,PREMIUM
19,Jenny Lewis,jenniferross@example.net,2025-11-17 11:52:53,VIP
20,Joseph Martinez,calebsmith@example.net,2025-01-15 06:51:59,REGULAR
21,Benjamin Welch,carlosjohnson@example.com,2024-09-21 02:39:53,REGULAR
22,Michael Lewis,jenniferkhan@example.net,2025-07-11 05:25:32,REGULAR
23,Rhonda Lee,hopkinsmichael@example.com,2025-07-07 02:34:19,PREMIUM
24,Megan Joyce,brownjessica@example.org,2025-01-28 19:29:02,VIP
25,Jerry Henderson,steven17@example.net,2024-10-10 20:16:02,REGULAR
26,Kimberly Smith,housemelinda@example.org,2025-05-23 21:25:50,REGULAR
27,Dr. Steven Martin,gallowayjoseph@example.com,2025-02-24 12:08:05,REGULAR
28,Monica Logan,smoore@example.org,2026-07-08 01:49:36,REGULAR
29,Kimberly Adkins,williamsthomas@example.net,2024-11-23 06:23:05,REGULAR
30,Angela Lopez,leonardjoe@example.org,2026-06-18 07:08:28,PREMIUM
31,Lauren Williams,barnesbrandy@example.net,2025-03-19 04:58:47,REGULAR
32,Michael Edwards,randy47@.com,2026-06-09 02:56:07,PREMIUM
33,Alexandra Howell,jonesjason@example.com,2024-11-05 01:06:51,VIP
34,Benjamin Sanchez,eric84@example.net,2026-07-19 02:57:35,PREMIUM
35,Kendra Contreras,sarah12@example.com,2024-10-23 14:59:53,REGULAR
36,Juan Nelson,jenniferharris@example.net,2026-04-14 14:30:59,REGULAR
37,Danielle Odonnell,davisrodney@example.com,2024-09-01 13:58:41,REGULAR
38,Carlos Whitney,joycearnold@example.com,2025-09-13 14:12:59,REGULAR
39,Tony Vazquez,amydavenport@example.net,2025-09-07 11:28:21,REGULAR
40,Andrew Diaz,nolanjason@example.org,2025-11-29 22:28:42,REGULAR
41,Justin Baxter,sarayoung@example.org,2026-07-13 13:04:29,REGULAR
42,Sierra Johnson,kimberly63@example.com,2024-11-24 13:17:15,REGULAR
43,Janet Williams,dwalker@example.com,2025-03-11 01:15:48,PREMIUM
44,Crystal Johnson,raymondramirez@example.org,2026-07-06 17:57:31,REGULAR
45,Martin Ross,sheila14@example.org,2025-09-27 22:48:52,REGULAR
46,Mrs. Linda Reed,samuel81@example.com,2026-05-18 14:13:31,REGULAR
47,Andrew Graham,michaeljones@example.net,2026-06-03 02:32:33,REGULAR
48,Mary Martinez,william65@example.com,2025-12-22 00:31:06,VIP
49,Cheryl Ortega,lbyrd@example.net,2025-09-19 13:44:59,REGULAR
50,Roy Torres,russellcarpenter@example.net,2025-03-23 11:54:47,VIP
51,Michael Dixon,donnacampbell@example.net,2025-11-05 03:21:10,REGULAR
52,Robert Potter,jeffrey32@example.org,2024-09-03 03:12:57,VIP
53,Miss Patricia Gibson,jennifercruz@example.com,2025-01-25 09:41:26,REGULAR
